age,gender,university,program,year,cgpa,study_hours,attendance,assignment_stress,exam_count,sleep_hours,social_media,physical_activity,part_time_job,screen_time,financial_stress,social_support,stress_q1,stress_q2,stress_q3,stress_q4,stress_q5,stress_q6,stress_q7,stress_q8,stress_q9,stress_q10,academic_life_satisfaction,biggest_stress_reason,thought_break,career_stress,academic_performance,stress_q4_rev,stress_q5_rev,stress_q7_rev,stress_q8_rev,stress_score,stress_level
23-25,Male,Tribhuvan University,BSc CSIT,3rd Year,3.0–3.49,1–2,71–80%,1,1-2,7–8,1–2 hours,3–4 days/week,Yes,3–5 hours,1,3,1,1,2,5,4,1,4,4,1,1,5,Job ,Rarely,1,5,1,2,2,2,14,Low
20-22,Female,Tribhuvan University,BHM,2nd Year,2.5–2.99,Less than 1,81–90%,4,5-6,5–6,3–4 hours,Never,No,More than 8 hours,4,2,4,5,4,2,1,5,2,2,4,4,2,Lack of practical classes and resources,Often,3,2,4,5,4,4,43,High
Above 25,Female,Sudurpaschim University,BSc CSIT,4th Year,2.5–2.99,1–2,60–70%,4,More than 6,5–6,1–2 hours,Never,Yes,6–8 hours,2,3,4,4,3,2,2,3,3,4,3,3,3,Future ,Sometimes,3,3,4,4,3,2,33,Moderate
20-22,Male,Rajarshi Janak University,BCA,1st Year,Not Available Yet,1–2,81–90%,1,3-4,5–6,Less than 1 hour,Never,Yes,Less than 3 hours,3,5,2,1,2,4,5,2,4,4,3,3,4,Job ,Never,1,4,2,1,2,2,20,Low
20-22,Female,Kathmandu University,MBBS,2nd Year,2.5–2.99,5–6,71–80%,5,3-4,5–6,5–6 hours,3–4 days/week,No,More than 8 hours,2,2,4,3,3,1,2,3,2,3,4,3,3,Too many assignments and lab reports with the same deadline,Often,3,3,5,4,4,3,36,Moderate
20-22,Male,Agriculture and Forestry University,Agriculture,3rd Year,2.5–2.99,Less than 1,60–70%,3,More than 6,5–6,3–4 hours,3–4 days/week,No,More than 8 hours,2,2,2,4,2,5,4,3,4,4,1,1,3,Not able to focus because of phone,Never,2,4,1,2,2,2,20,Low
20-22,Male,Pokhara University,BE/B.Tech,2nd Year,3.5–4.0,1–2,Above 90%,3,1-2,7–8,1–2 hours,5–6 days/week,Yes,6–8 hours,3,5,3,2,3,4,5,2,4,5,1,2,5,Pressure to go abroad after graduation,Never,3,5,2,1,2,1,19,Low
20-22,Female,Tribhuvan University,BDS,2nd Year,3.5–4.0,3–4,71–80%,5,More than 6,Less than 5,3–4 hours,3–4 days/week,Yes,6–8 hours,3,2,4,3,4,3,2,5,3,3,5,5,2,Too many assignments and lab reports with the same deadline,Sometimes,4,4,3,4,3,3,39,High
17-19,Male,Tribhuvan University,BCA,1st Year,Not Available Yet,1–2,81–90%,4,3-4,5–6,3–4 hours,5–6 days/week,No,3–5 hours,3,1,5,4,4,2,3,5,2,1,4,4,1,"Exams, because the whole year's result depends on the final board exam",Often,5,3,4,3,4,5,42,High
23-25,Female,Tribhuvan University,BSc CSIT,3rd Year,2.5–2.99,3–4,81–90%,4,3-4,5–6,3–4 hours,Never,No,6–8 hours,4,3,4,5,5,2,2,4,2,3,5,5,3,Assignments because multiple deadlines occur at the same time,Very Often,4,3,4,4,4,3,43,High
23-25,Male,Tribhuvan University,BSc CSIT,4th Year,3.0–3.49,1–2,81–90%,4,5-6,7–8,5–6 hours,3–4 days/week,No,3–5 hours,3,4,3,3,3,2,4,2,2,2,3,3,3,Ok,Sometimes,2,5,4,2,4,4,31,Moderate
20-22,Female,Other,BSc Nursing,1st Year,Not Available Yet,1–2,71–80%,5,5-6,7–8,5–6 hours,Never,No,More than 8 hours,3,3,4,4,4,3,3,4,2,1,5,3,1,"Exams, because the whole year's result depends on the final board exam",Sometimes,4,1,3,3,4,5,39,High
23-25,Male,Tribhuvan University,BDS,5th Year,3.0–3.49,3–4,81–90%,2,3-4,More than 8,3–4 hours,1–2 days/week,No,3–5 hours,3,5,1,1,2,3,4,1,4,4,1,3,4,Job market is competitive and many seniors are still unemployed,Rarely,3,4,3,2,2,2,18,Low
23-25,Female,Tribhuvan University,BSc CSIT,4th Year,3.0–3.49,1–2,81–90%,2,More than 6,5–6,1–2 hours,1–2 days/week,Yes,6–8 hours,4,1,2,3,4,3,4,3,3,4,5,3,2,Board exams,Often,4,3,3,2,3,2,30,Moderate
23-25,Prefer not to say,Other,BDS,3rd Year,3.5–4.0,5–6,Above 90%,3,5-6,5–6,3–4 hours,Never,No,More than 8 hours,2,3,2,3,3,4,4,2,4,2,3,2,4,Frustration ,Sometimes,4,4,2,2,2,4,25,Moderate
23-25,Prefer not to say,Pokhara University,MBBS,3rd Year,3.5–4.0,3–4,60–70%,3,1-2,Less than 5,5–6 hours,1–2 days/week,Yes,More than 8 hours,4,4,3,5,4,2,2,4,2,2,3,3,2,"TU exam pattern, everything depends on final exam",Very Often,2,3,4,4,4,4,38,High
23-25,Prefer not to say,Tribhuvan University,BCA,2nd Year,2.0–2.49,1–2,71–80%,3,3-4,5–6,1–2 hours,3–4 days/week,No,6–8 hours,3,5,5,3,4,2,2,4,2,2,3,4,3,Financial ,Very Often,4,2,4,4,4,4,39,High
20-22,Female,Sudurpaschim University,BCA,1st Year,Not Available Yet,1–2,71–80%,3,More than 6,5–6,5–6 hours,Never,Yes,6–8 hours,3,4,1,4,3,3,3,2,3,3,4,3,4,Time management,Sometimes,4,3,3,3,3,3,29,Moderate
20-22,Female,Tribhuvan University,BSc CSIT,2nd Year,2.5–2.99,3–4,Above 90%,3,1-2,Less than 5,1–2 hours,1–2 days/week,No,3–5 hours,3,3,2,4,2,3,4,3,3,3,2,4,3,Too many assignments and lab reports with the same deadline,Sometimes,4,3,3,2,3,3,28,Moderate
20-22,Female,Sudurpaschim University,BCA,4th Year,Not Available Yet,Less than 1,81–90%,4,3-4,7–8,3–4 hours,1–2 days/week,Yes,3–5 hours,3,2,4,3,4,2,2,4,4,2,4,3,2,Job market is competitive and many seniors are still unemployed,Sometimes,4,3,4,4,2,4,36,Moderate
20-22,Female,Purbanchal University,BE/B.Tech,2nd Year,3.5–4.0,5–6,Above 90%,2,3-4,More than 8,1–2 hours,3–4 days/week,Yes,3–5 hours,4,5,1,1,1,5,5,2,5,5,1,1,4,"TU exam pattern, everything depends on final exam",Rarely,3,5,1,1,1,1,11,Low
23-25,Male,Tribhuvan University,BSc CSIT,4th Year,2.5–2.99,1–2,60–70%,4,3-4,5–6,1–2 hours,Never,No,6–8 hours,4,3,5,4,5,1,1,4,2,2,4,4,2,Too many assignments and lab reports with the same deadline,Sometimes,4,4,5,5,4,4,44,High
23-25,Prefer not to say,Agriculture and Forestry University,Agriculture,3rd Year,3.0–3.49,1–2,71–80%,2,3-4,7–8,3–4 hours,1–2 days/week,Yes,3–5 hours,3,2,2,3,3,4,4,3,4,3,2,4,3,Exam routine keeps changing and results come very late,Rarely,3,3,2,2,2,3,26,Moderate
23-25,Female,Pokhara University,MBBS,5th Year,3.0–3.49,3–4,71–80%,3,More than 6,5–6,3–4 hours,1–2 days/week,Yes,More than 8 hours,4,1,3,3,3,3,3,3,3,4,3,3,2,Unsure ,Rarely,3,4,3,3,3,2,29,Moderate
Above 25,Male,Tribhuvan University,MBBS,4th Year,3.5–4.0,More than 6 hours,Above 90%,2,More than 6,5–6,1–2 hours,3–4 days/week,No,6–8 hours,3,2,2,1,2,4,3,3,3,4,1,2,4,Assignments because multiple deadlines occur at the same time,Never,2,5,2,3,3,2,21,Low
20-22,Male,Tribhuvan University,BCA,2nd Year,2.5–2.99,1–2,81–90%,3,1-2,Less than 5,1–2 hours,5–6 days/week,No,3–5 hours,4,5,3,2,2,2,4,2,3,4,3,2,4,Financial ,Sometimes,4,3,4,2,3,2,25,Moderate
23-25,Male,Kathmandu University,BDS,3rd Year,3.0–3.49,5–6,71–80%,3,5-6,5–6,3–4 hours,3–4 days/week,No,More than 8 hours,3,2,4,3,4,3,1,5,2,2,3,4,4,"Result delays and session delays in university, internal assessments and assignments piling up together",Often,4,3,3,5,4,4,39,High
17-19,Male,Tribhuvan University,BSc CSIT,1st Year,Not Available Yet,Less than 1,60–70%,5,3-4,5–6,3–4 hours,1–2 days/week,No,More than 8 hours,3,3,4,3,3,2,2,4,2,2,4,5,3,Multiple assignments ,Very Often,4,3,4,4,4,4,39,High
20-22,Female,Tribhuvan University,BDS,2nd Year,2.0–2.49,1–2,60–70%,3,3-4,7–8,1–2 hours,1–2 days/week,No,6–8 hours,3,2,2,3,3,3,3,4,3,4,3,4,3,"TU exam pattern, everything depends on final exam",Never,2,5,3,3,3,2,30,Moderate
23-25,Female,Kathmandu University,BE/B.Tech,4th Year,2.5–2.99,Less than 1,71–80%,2,1-2,7–8,3–4 hours,5–6 days/week,No,6–8 hours,3,5,3,3,2,4,3,2,4,4,1,2,4,Exams ,Sometimes,2,4,2,3,2,2,22,Low
23-25,Prefer not to say,Tribhuvan University,BCA,4th Year,2.0–2.49,3–4,60–70%,4,5-6,5–6,5–6 hours,1–2 days/week,No,More than 8 hours,3,2,5,4,4,1,1,5,1,2,4,5,3,Pressure to go abroad after graduation,Often,4,2,5,5,5,4,46,High
Above 25,Female,Tribhuvan University,BSc CSIT,3rd Year,3.0–3.49,3–4,60–70%,3,More than 6,Less than 5,1–2 hours,Never,Yes,6–8 hours,4,1,4,3,5,2,3,4,2,2,5,5,3,Job ,Sometimes,4,3,4,3,4,4,41,High
20-22,Prefer not to say,Tribhuvan University,BHM,3rd Year,2.5–2.99,Less than 1,60–70%,3,1-2,7–8,1–2 hours,3–4 days/week,Yes,3–5 hours,3,3,2,2,2,4,4,2,4,3,2,2,3,Financial pressure because my family struggles to pay tuition,Never,5,4,2,2,2,3,21,Low
20-22,Male,Tribhuvan University,BSc CSIT,2nd Year,3.0–3.49,5–6,81–90%,3,1-2,7–8,3–4 hours,Never,Yes,3–5 hours,3,3,3,3,3,2,3,4,1,3,4,3,3,Not able to focus because of phone,Often,4,3,4,3,5,3,35,Moderate
20-22,Prefer not to say,Purbanchal University,BSc Nursing,3rd Year,2.0–2.49,Less than 1,71–80%,4,3-4,5–6,3–4 hours,Daily,No,More than 8 hours,4,4,2,2,2,3,3,2,3,3,2,2,4,"Future career concerns because I am unsure about job opportunities, assignments because multiple deadlines occur at the same time",Rarely,5,3,3,3,3,3,24,Low
17-19,Male,Other,MBBS,1st Year,3.5–4.0,More than 6 hours,Above 90%,4,More than 6,5–6,1–2 hours,5–6 days/week,No,6–8 hours,2,1,3,4,4,3,1,4,3,3,4,4,3,Sometimes,Sometimes,3,5,3,5,3,3,37,High
23-25,Female,Kathmandu University,BSc Nursing,3rd Year,3.0–3.49,5–6,81–90%,5,More than 6,5–6,3–4 hours,Never,No,More than 8 hours,3,2,5,3,3,3,2,3,2,2,5,5,3,Too many assignments and lab reports with the same deadline,Rarely,4,4,3,4,4,4,39,High
17-19,Female,Tribhuvan University,BDS,2nd Year,3.0–3.49,5–6,71–80%,3,5-6,5–6,3–4 hours,3–4 days/week,No,More than 8 hours,4,4,5,5,4,2,3,5,2,3,3,4,2,Tuition fees and hostel expenses,Often,4,3,4,3,4,3,40,High
20-22,Female,Pokhara University,MBBS,1st Year,Not Available Yet,1–2,71–80%,3,1-2,7–8,3–4 hours,1–2 days/week,Yes,3–5 hours,3,2,4,4,3,1,2,4,3,2,4,3,2,"Deadlines, not able to focus because of phone",Often,3,2,5,4,3,4,38,High
20-22,Female,Tribhuvan University,BSc CSIT,3rd Year,3.5–4.0,5–6,71–80%,3,5-6,7–8,More than 6 hours,1–2 days/week,Yes,More than 8 hours,3,2,4,4,4,2,3,4,2,3,3,3,3,Internal assessments and assignments piling up together,Very Often,4,4,4,3,4,3,36,Moderate
20-22,Male,Pokhara University,BHM,2nd Year,Not Available Yet,3–4,81–90%,2,5-6,7–8,3–4 hours,1–2 days/week,Yes,3–5 hours,1,5,1,1,2,4,5,1,4,5,1,1,4,"Balancing part-time job and classes, I don't get enough time to study",Never,3,4,2,1,2,1,13,Low
20-22,Female,Tribhuvan University,MBBS,4th Year,3.0–3.49,3–4,71–80%,2,3-4,7–8,1–2 hours,5–6 days/week,No,6–8 hours,2,4,2,2,2,4,5,2,5,5,1,1,4,Family pressure,Sometimes,2,3,2,1,1,1,15,Low
17-19,Female,Tribhuvan University,MBBS,1st Year,Not Available Yet,3–4,71–80%,2,3-4,Less than 5,Less than 1 hour,1–2 days/week,No,3–5 hours,2,3,2,3,3,2,3,2,3,2,3,2,4,Final year project and internship,Sometimes,2,3,4,3,3,4,29,Moderate
23-25,Male,Tribhuvan University,BCA,3rd Year,3.5–4.0,5–6,Above 90%,4,3-4,5–6,5–6 hours,Never,Yes,More than 8 hours,4,1,4,3,3,2,2,4,2,1,4,4,3,Working part time and studying at the same time,Sometimes,3,4,4,4,4,5,39,High
23-25,Female,Other,BSc Nursing,3rd Year,3.5–4.0,3–4,81–90%,3,3-4,5–6,1–2 hours,3–4 days/week,No,3–5 hours,3,3,4,2,3,4,4,4,4,3,3,4,4,Too many assignments and lab reports with the same deadline,Sometimes,4,5,2,2,2,3,29,Moderate
Above 25,Prefer not to say,Agriculture and Forestry University,Agriculture,3rd Year,2.0–2.49,3–4,60–70%,5,5-6,5–6,1–2 hours,Never,Yes,6–8 hours,4,4,4,4,5,1,3,4,2,1,5,4,2,Financial ,Sometimes,4,3,5,3,4,5,43,High
23-25,Male,Tribhuvan University,BDS,3rd Year,2.5–2.99,3–4,81–90%,4,5-6,Less than 5,3–4 hours,Never,No,More than 8 hours,5,3,5,5,4,2,2,4,1,2,4,4,2,Financial pressure because my family struggles to pay tuition,Often,3,3,4,4,5,4,43,High
23-25,Male,Agriculture and Forestry University,Agriculture,4th Year,2.0–2.49,3–4,71–80%,4,3-4,5–6,3–4 hours,1–2 days/week,Yes,3–5 hours,4,2,3,4,4,1,1,4,1,3,4,4,2,Not able to focus because of phone,Sometimes,3,1,5,5,5,3,41,High
20-22,Female,Pokhara University,BHM,3rd Year,2.5–2.99,3–4,60–70%,3,More than 6,Less than 5,3–4 hours,Never,No,6–8 hours,4,2,5,4,5,2,3,5,2,3,3,3,1,Board exams,Very Often,5,2,4,3,4,3,39,High
17-19,Prefer not to say,Other,MBBS,2nd Year,2.5–2.99,3–4,71–80%,1,More than 6,More than 8,Less than 1 hour,1–2 days/week,No,3–5 hours,2,3,1,1,2,3,5,1,5,5,2,1,5,Lack of practical classes and resources,Never,3,5,3,1,1,1,14,Low
23-25,Prefer not to say,Tribhuvan University,BCA,4th Year,2.0–2.49,Less than 1,71–80%,3,3-4,5–6,1–2 hours,Never,Yes,6–8 hours,3,3,3,2,3,4,3,4,4,3,3,3,3,Project submission deadlines clashing with exams,Sometimes,4,3,2,3,2,3,28,Moderate
Above 25,Female,Tribhuvan University,BSc CSIT,3rd Year,3.5–4.0,More than 6 hours,Above 90%,2,3-4,5–6,1–2 hours,1–2 days/week,No,6–8 hours,1,3,2,2,2,4,4,3,4,5,2,2,4,"Strict attendance requirement, job market is competitive and many seniors are still unemployed",Sometimes,1,5,2,2,2,1,20,Low
17-19,Female,Tribhuvan University,BCA,1st Year,2.0–2.49,1–2,71–80%,4,1-2,5–6,3–4 hours,1–2 days/week,No,6–8 hours,3,4,2,3,4,2,2,4,1,2,4,4,3,Unfair grading in internal marks,Often,3,2,4,4,5,4,38,High
20-22,Male,Kathmandu University,MBBS,4th Year,3.0–3.49,3–4,60–70%,4,3-4,5–6,3–4 hours,5–6 days/week,No,6–8 hours,4,1,4,4,4,3,2,5,1,4,4,4,3,Future ,Sometimes,3,2,3,4,5,2,39,High
23-25,Female,Kathmandu University,BDS,4th Year,2.5–2.99,3–4,60–70%,3,1-2,5–6,5–6 hours,1–2 days/week,Yes,6–8 hours,3,4,5,4,4,3,2,2,1,3,3,3,2,Study management,Sometimes,5,2,3,4,5,3,36,Moderate
23-25,Female,Tribhuvan University,Law(LLB),3rd Year,2.0–2.49,Less than 1,81–90%,3,5-6,5–6,3–4 hours,3–4 days/week,No,3–5 hours,3,4,3,3,4,3,3,1,4,3,4,3,3,Deadlines,Never,2,4,3,3,2,3,29,Moderate
23-25,Prefer not to say,Tribhuvan University,BSc CSIT,3rd Year,Below 2.0,Less than 1,60–70%,3,3-4,5–6,3–4 hours,1–2 days/week,Yes,6–8 hours,3,5,3,3,3,3,4,5,3,1,3,2,3,Internal assessments and assignments piling up together,Sometimes,4,2,3,2,3,5,32,Moderate
20-22,Female,Purbanchal University,BSc Nursing,3rd Year,3.0–3.49,3–4,60–70%,2,3-4,Less than 5,3–4 hours,1–2 days/week,No,3–5 hours,3,3,3,3,3,3,3,2,2,4,3,3,4,Exams ,Rarely,2,4,3,3,4,2,29,Moderate
23-25,Male,Madhyapaschim University,BCA,3rd Year,2.0–2.49,Less than 1,Below 60%,5,3-4,Less than 5,More than 6 hours,Never,Yes,More than 8 hours,2,3,5,5,5,3,1,5,1,1,5,4,1,Paying semester fees while living in Kathmandu is hard,Very Often,4,1,3,5,5,5,47,High
20-22,Prefer not to say,Tribhuvan University,Law(LLB),3rd Year,2.0–2.49,1–2,71–80%,5,More than 6,Less than 5,3–4 hours,1–2 days/week,No,3–5 hours,4,2,5,5,4,1,1,4,2,3,5,4,3,"Assignments because multiple deadlines occur at the same time, career, jobs are very limited in nepal",Often,5,1,5,5,4,3,44,High
20-22,Male,Rajarshi Janak University,Agriculture,2nd Year,3.0–3.49,3–4,60–70%,3,5-6,5–6,Less than 1 hour,1–2 days/week,Yes,3–5 hours,4,3,2,4,4,2,4,3,3,3,3,3,3,Assignments because multiple deadlines occur at the same time,Rarely,3,4,4,2,3,3,31,Moderate
23-25,Female,Tribhuvan University,BHM,4th Year,3.5–4.0,Less than 1,60–70%,3,1-2,5–6,3–4 hours,3–4 days/week,Yes,More than 8 hours,1,3,1,2,1,5,3,2,5,4,1,1,4,Future career concerns because I am unsure about job opportunities,Rarely,2,5,1,3,1,2,15,Low
23-25,Female,Kathmandu University,BSc Nursing,4th Year,3.0–3.49,Less than 1,60–70%,3,More than 6,7–8,Less than 1 hour,1–2 days/week,No,Less than 3 hours,4,4,3,2,2,3,2,4,3,3,3,3,4,Stress,Never,4,4,3,4,3,3,30,Moderate
23-25,Male,Purbanchal University,Law(LLB),4th Year,3.5–4.0,5–6,81–90%,3,5-6,7–8,5–6 hours,1–2 days/week,No,More than 8 hours,2,3,4,2,3,4,3,3,3,4,2,3,3,Job market is competitive and many seniors are still unemployed,Rarely,4,4,2,3,3,2,27,Moderate
17-19,Female,Tribhuvan University,BBS,1st Year,2.0–2.49,Less than 1,81–90%,3,5-6,5–6,5–6 hours,3–4 days/week,Yes,More than 8 hours,5,1,4,2,3,3,3,2,3,3,3,4,3,Financial pressure ,Sometimes,4,1,3,3,3,3,30,Moderate
17-19,Male,Tribhuvan University,BHM,1st Year,Not Available Yet,5–6,60–70%,4,More than 6,Less than 5,5–6 hours,Never,Yes,More than 8 hours,5,1,5,4,3,1,1,5,1,1,5,4,2,Project submission deadlines clashing with exams,Often,5,2,5,5,5,5,46,High
23-25,Male,Purbanchal University,BCA,3rd Year,3.0–3.49,1–2,71–80%,1,1-2,7–8,1–2 hours,Never,Yes,Less than 3 hours,3,4,2,2,1,5,4,2,5,5,1,1,5,Future career,Never,1,3,1,2,1,1,14,Low
17-19,Male,Tribhuvan University,BSc CSIT,1st Year,Not Available Yet,3–4,71–80%,3,3-4,More than 8,3–4 hours,1–2 days/week,Yes,6–8 hours,4,3,3,3,3,3,4,2,3,5,2,2,3,Working part time and studying at the same time,Rarely,3,2,3,2,3,1,24,Low
Above 25,Female,Other,MBBS,4th Year,3.5–4.0,5–6,71–80%,3,5-6,7–8,1–2 hours,1–2 days/week,No,3–5 hours,3,1,2,1,2,2,3,2,4,4,2,3,4,Family expectations to get good grades,Sometimes,4,3,4,3,2,2,23,Low
23-25,Female,Kathmandu University,MBBS,5th Year,3.5–4.0,More than 6 hours,Above 90%,3,1-2,Less than 5,5–6 hours,5–6 days/week,Yes,More than 8 hours,3,5,2,3,4,3,3,2,3,3,4,2,3,Pressure to become a doctor/engineer like my family expects,Sometimes,3,3,3,3,3,3,29,Moderate
23-25,Male,Tribhuvan University,BE/B.Tech,2nd Year,2.5–2.99,1–2,81–90%,2,3-4,5–6,3–4 hours,3–4 days/week,Yes,6–8 hours,5,4,2,2,2,4,3,2,3,5,3,2,5,Result delays and session delays in university,Sometimes,3,3,2,3,3,1,22,Low
20-22,Male,Tribhuvan University,BSc CSIT,2nd Year,Not Available Yet,5–6,81–90%,5,More than 6,Less than 5,3–4 hours,Never,Yes,6–8 hours,4,4,3,4,5,2,2,4,1,2,5,5,1,Procrastination,Very Often,4,2,4,4,5,4,43,High
Above 25,Female,Other,BSc Nursing,1st Year,3.5–4.0,3–4,81–90%,3,More than 6,7–8,3–4 hours,1–2 days/week,No,3–5 hours,3,2,2,2,3,5,5,2,4,3,1,2,4,Project submission deadlines clashing with exams,Never,4,3,1,1,2,3,19,Low
23-25,Male,Rajarshi Janak University,BBS,3rd Year,3.5–4.0,3–4,Above 90%,4,1-2,5–6,1–2 hours,1–2 days/week,Yes,6–8 hours,4,4,5,4,4,2,2,4,3,1,5,4,2,Pressure to become a doctor/engineer like my family expects,Often,3,3,4,4,3,5,42,High
17-19,Female,Tribhuvan University,BCA,1st Year,Not Available Yet,5–6,Above 90%,5,1-2,Less than 5,5–6 hours,1–2 days/week,No,6–8 hours,5,1,4,4,4,1,2,5,2,2,5,5,2,"Not able to focus because of phone, financial pressure because my family struggles to pay tuition",Often,3,2,5,4,4,4,44,High
20-22,Female,Rajarshi Janak University,Agriculture,2nd Year,2.5–2.99,Less than 1,60–70%,3,More than 6,7–8,1–2 hours,1–2 days/week,No,Less than 3 hours,5,5,3,3,4,3,4,4,3,2,1,4,3,Yes,Sometimes,3,3,3,2,3,4,31,Moderate
20-22,Female,Kathmandu University,BSc Nursing,4th Year,3.5–4.0,1–2,71–80%,2,More than 6,7–8,Less than 1 hour,3–4 days/week,No,Less than 3 hours,3,4,2,1,2,5,4,3,4,5,2,1,5,Multiple assignments ,Rarely,3,5,1,2,2,1,17,Low
23-25,Male,Other,MBBS,2nd Year,2.5–2.99,3–4,Above 90%,3,3-4,5–6,5–6 hours,Never,No,More than 8 hours,4,2,3,3,4,2,3,4,3,3,2,3,3,Financial ,Sometimes,2,2,4,3,3,3,32,Moderate
23-25,Female,Purbanchal University,BSc Nursing,3rd Year,Not Available Yet,5–6,Above 90%,3,1-2,5–6,5–6 hours,1–2 days/week,No,More than 8 hours,3,2,5,4,5,2,3,4,2,2,4,4,3,Unsure about future after graduation,Sometimes,4,3,4,3,4,4,41,High
Above 25,Male,Tribhuvan University,BSc CSIT,3rd Year,3.0–3.49,3–4,60–70%,4,5-6,7–8,3–4 hours,1–2 days/week,No,More than 8 hours,2,3,3,4,3,2,5,4,4,3,2,4,3,"Internal assessments and assignments piling up together, semester project with weak team members",Rarely,4,4,4,1,2,3,30,Moderate
23-25,Male,Tribhuvan University,BDS,3rd Year,3.5–4.0,5–6,60–70%,1,3-4,5–6,3–4 hours,Daily,Yes,6–8 hours,3,5,1,1,1,5,5,3,5,5,1,1,4,Job ,Never,1,4,1,1,1,1,12,Low
23-25,Female,Pokhara University,BHM,2nd Year,2.5–2.99,1–2,60–70%,2,3-4,7–8,1–2 hours,Never,No,6–8 hours,3,4,1,1,2,5,5,1,5,5,2,1,4,Financial ,Often,1,2,1,1,1,1,12,Low
23-25,Female,Tribhuvan University,BCA,3rd Year,3.0–3.49,1–2,60–70%,4,5-6,5–6,5–6 hours,Never,No,More than 8 hours,4,1,5,3,5,2,2,5,1,1,5,4,3,Capstone projects.,Very Often,5,2,4,4,5,5,45,High
20-22,Prefer not to say,Other,MBBS,2nd Year,3.0–3.49,5–6,Above 90%,4,5-6,5–6,1–2 hours,Never,No,3–5 hours,2,2,3,4,5,2,2,4,1,2,4,5,2,Too many assignments and lab reports with the same deadline,Sometimes,3,3,4,4,5,4,42,High
23-25,Female,Pokhara University,BCA,4th Year,2.5–2.99,1–2,60–70%,2,3-4,5–6,3–4 hours,Never,No,6–8 hours,2,3,2,3,2,3,4,3,3,4,2,2,3,Study management,Never,4,4,3,2,3,2,24,Low
Above 25,Male,Tribhuvan University,BSc CSIT,3rd Year,3.0–3.49,1–2,71–80%,5,1-2,5–6,5–6 hours,1–2 days/week,Yes,More than 8 hours,4,2,4,3,3,3,4,3,1,3,3,3,2,Assignments because multiple deadlines occur at the same time,Sometimes,3,4,3,2,5,3,32,Moderate
23-25,Female,Tribhuvan University,BSc Nursing,2nd Year,2.5–2.99,1–2,71–80%,4,5-6,5–6,3–4 hours,3–4 days/week,No,6–8 hours,3,2,3,2,5,3,3,3,3,2,4,3,3,Exams ,Sometimes,4,3,3,3,3,4,33,Moderate
23-25,Female,Tribhuvan University,BCA,4th Year,2.5–2.99,1–2,60–70%,3,3-4,7–8,1–2 hours,3–4 days/week,Yes,6–8 hours,1,2,3,2,3,3,3,3,4,4,3,3,2,Future career,Sometimes,4,3,3,3,2,2,27,Moderate
20-22,Female,Tribhuvan University,BCA,4th Year,2.5–2.99,Less than 1,71–80%,4,3-4,5–6,Less than 1 hour,1–2 days/week,No,Less than 3 hours,4,3,4,4,4,3,2,5,3,2,3,4,2,Job market is competitive and many seniors are still unemployed,Often,4,3,3,4,3,4,38,High
23-25,Male,Tribhuvan University,BSc CSIT,4th Year,3.0–3.49,3–4,71–80%,4,1-2,5–6,3–4 hours,Never,Yes,More than 8 hours,3,1,3,3,4,3,1,5,3,1,5,4,3,Project submission deadlines clashing with exams,Often,4,3,3,5,3,5,40,High
Above 25,Female,Tribhuvan University,BSc Nursing,3rd Year,3.5–4.0,5–6,71–80%,3,3-4,5–6,1–2 hours,3–4 days/week,No,More than 8 hours,3,3,3,4,4,3,3,3,4,4,3,2,2,Deadlines,Often,2,4,3,3,2,2,29,Moderate
Above 25,Female,Tribhuvan University,BSc CSIT,3rd Year,3.0–3.49,1–2,60–70%,4,3-4,Less than 5,More than 6 hours,3–4 days/week,Yes,More than 8 hours,4,3,4,4,3,3,2,3,2,3,4,4,2,Future career concerns because I am unsure about job opportunities,Sometimes,3,5,3,4,4,3,36,Moderate
17-19,Female,Tribhuvan University,MBBS,2nd Year,3.0–3.49,1–2,71–80%,4,More than 6,7–8,3–4 hours,Never,No,More than 8 hours,4,2,3,3,4,2,2,4,2,2,4,5,3,Project submission deadlines clashing with exams,Often,3,3,4,4,4,4,39,High
17-19,Male,Tribhuvan University,BIM,4th Year,Not Available Yet,5–6,Above 90%,1,1-2,Less than 5,Less than 1 hour,Never,No,3–5 hours,3,5,1,2,1,4,5,1,5,5,1,1,4,Internal assessments and assignments piling up together,Rarely,4,5,2,1,1,1,12,Low
23-25,Female,Tribhuvan University,BCA,1st Year,3.0–3.49,3–4,71–80%,1,3-4,5–6,Less than 1 hour,3–4 days/week,No,3–5 hours,1,4,2,1,2,3,5,3,3,3,3,2,3,"Career, jobs are very limited in Nepal",Sometimes,3,3,3,1,3,3,23,Low
23-25,Male,Madhyapaschim University,BCA,3rd Year,3.5–4.0,3–4,60–70%,2,3-4,More than 8,1–2 hours,3–4 days/week,Yes,More than 8 hours,4,4,4,3,3,4,4,2,4,2,3,3,3,Lack of practical classes and resources,Rarely,5,5,2,2,2,4,28,Moderate
Above 25,Female,Tribhuvan University,BSc Nursing,2nd Year,3.5–4.0,More than 6 hours,81–90%,2,1-2,5–6,3–4 hours,3–4 days/week,No,3–5 hours,3,3,3,4,2,3,3,3,4,3,3,3,3,Future career concerns because I am unsure about job opportunities,Rarely,4,3,3,3,2,3,29,Moderate
